0,2.94794059
1,3.08443206
2,2.97519328
3,3.0811791
4,2.98342905
5,2.914795
6,2.98989239
7,2.91736449
8,2.98010394
9,2.98871152
10,3.00490394
11,2.89524709
12,3.05748733
13,3.0169951
14,2.93164882
15,2.96582432
16,2.98303166
17,3.07980388
18,3.07929828
19,2.99102851
20,3.04088803
21,3.01906367
22,3.04668681
23,2.92299468
24,2.98971091
25,2.96716681
26,3.0332908
27,3.05317158
28,2.95814714
29,2.98339094
30,3.01208516
31,3.01518928
32,2.97678791
33,3.09368378
34,2.97506171
35,2.98127214
36,3.00141699
37,2.93844966
38,3.02539999
39,3.08712801
40,3.0059752
41,3.00032885
42,2.96516877
43,3.03079677
44,3.04898189
45,3.01509827
46,3.03451865
47,2.97696674
48,2.99645507
49,2.92577923
50,2.99491435
51,3.0440706
52,3.07107733
53,2.98466141
54,2.9744416
55,3.04073364
56,2.99513555
57,2.90278254
58,3.00140511
59,3.09783402
60,2.9707619
61,3.01229631
62,3.0449256
63,2.96572663
64,2.97646125
65,3.03821771
66,3.05918869
67,2.96487903
68,3.07073124
69,2.99028598
70,3.06522759
71,2.91414667
72,2.94234165
73,3.10672323
74,3.03585748
75,2.99102242
76,3.05398321
77,2.99118394
78,2.99997897
79,3.01704561
80,3.01143828
81,3.04216522
82,2.98442078
83,2.97630544
84,3.08351102
85,2.99767082
86,2.98049755
87,3.04370143
88,2.95396807
89,3.02330209
90,2.97336043
91,3.05728366
92,3.00821827
93,3.04978764
94,3.05803322
95,2.96613439
96,3.01958891
97,2.98265807
98,3.04188684
99,2.91583875
100,3.00425436
101,2.97519999
102,2.94105219
103,2.93207226
104,2.99676328
105,2.97709854
106,2.98208692
107,2.96382369
108,2.99781364
109,3.00652439
110,3.04210334
111,2.96977164
112,2.97155907
113,2.97375548
114,3.03849383
115,3.00953103
116,3.03651235
117,3.02277731
118,3.00691369
119,2.98655902
120,3.0106122
121,3.05347647
122,2.96438853
123,3.02089206
124,3.04320029
125,3.07058443
126,2.94475618
127,2.99254435
128,3.07432608
129,2.96715749
130,2.99377989
131,3.01275711
132,2.97684465
133,3.07474765
134,2.96972406
135,2.99492052
136,3.06085206
137,2.93719638
138,3.01238754
139,2.99038972
140,2.93924128
141,3.05532492
142,3.06287638
143,3.0634458
144,3.03500476
145,3.00656594
146,2.93485516
147,3.00842457
148,2.98450503
149,2.99784082
150,2.9308697
151,3.02475361
152,3.06371591
153,2.98771579
154,2.97690689
155,2.98580761
156,2.93655075
157,2.94806281
158,3.02362205
159,3.04899695
160,2.96296364
161,2.91983996
162,2.98745236
163,2.99243551
164,2.94342891
165,3.04912141
166,2.9170534
167,3.03079926
168,2.9798946
169,3.06029076
170,2.98205307
171,2.98774994
172,3.02680632
